q_A^-1,intensity,sigma,intensity_fit
1.235506196798082101e-03,6.403585046610962600e+05,1.565472037437568542e+04,6.333451174145921832e+05
1.257425561406921551e-03,6.098016237413156778e+05,1.503649936100819468e+04,6.051830757366097532e+05
1.279733801883888846e-03,5.802110814998522401e+05,1.443841805544915405e+04,5.777332955892093014e+05
1.302437817354185458e-03,5.515980674699749798e+05,1.385973226148452522e+04,5.509562424058006145e+05
1.325544629341784963e-03,5.239702447242848575e+05,1.329973918326651255e+04,5.248211048584866803e+05
1.349061383940937994e-03,4.973318548144381493e+05,1.275777970554428975e+04,4.993073830839759903e+05
1.372995354026188691e-03,4.716838373516909778e+05,1.223323992007870947e+04,4.744060624443868874e+05
1.397353941501620856e-03,4.470239631127975881e+05,1.172555189440667891e+04,4.501202346358952345e+05
1.422144679589987118e-03,4.233469794767424464e+05,1.123419369183895105e+04,4.264650436340408633e+05
1.447375235162464682e-03,4.006447669320479035e+05,1.075868866211726890e+04,4.034668717716772226e+05
1.473053411109742162e-03,3.789065053375177085e+05,1.029860403458509973e+04,3.811617407559310668e+05
1.499187148755160015e-03,3.581188485760539770e+05,9.853548853296999368e+03,3.595929783191673923e+05
1.525784530310684119e-03,3.382661062088049948e+05,9.423171305252162711e+03,3.388082832219080883e+05
1.552853781376427409e-03,3.193304307165071368e+05,9.007155498035044729e+03,3.188563958115655114e+05
1.580403273484533603e-03,3.012920089078061283e+05,8.605217752634238423e+03,2.997836340964626288e+05
1.608441526688189974e-03,2.841292560788094997e+05,8.217102480973409911e+03,2.816305752196236863e+05
1.636977212196565187e-03,2.678190115243457258e+05,7.842577724628577926e+03,2.644291444812838454e+05
1.666019155056495992e-03,2.523367340298518538e+05,7.481430434888348827e+03,2.482003217005874903e+05
1.695576336881754334e-03,2.376566960122548044e+05,7.133461578572621875e+03,2.329525980030135834e+05
1.725657898630738197e-03,2.237521750297471881e+05,6.798481157597839228e+03,2.186812299099553493e+05
1.756273143433425979e-03,2.105956414379552007e+05,6.476303234206548041e+03,2.053682574837093125e+05
1.787431539468507758e-03,1.981589410438090563e+05,6.166741055488324491e+03,1.929831919103808759e+05
1.819142722891536066e-03,1.864134716832265258e+05,5.869602374850350316e+03,1.814842425298729213e+05
1.851416500815041824e-03,1.753303527368567884e+05,5.584685068361030972e+03,1.708199449562752270e+05
1.884262854341524004e-03,1.648805866903662682e+05,5.311773145850643232e+03,1.609310660635606619e+05
