# Q(1/A)  I_MAP  dI_MAP
1.236911548117373104e-02 1.400226902961730957e+02 2.251744759440981181e+00
1.258855845347394038e-02 1.316742644309997559e+02 2.097534403467668618e+00
1.281189460780202474e-02 1.238388787508010864e+02 1.954668335550037384e+00
1.303919301388548752e-02 1.164804798364639282e+02 1.822322145425715911e+00
1.327052396683181881e-02 1.095660276412963867e+02 1.699696861615834997e+00
1.350595900886817843e-02 1.030652630329132080e+02 1.586052951462765703e+00
1.374557095146680674e-02 9.695059680938720703e+01 1.480655547664641025e+00
1.398943389786295836e-02 9.119686293601989746e+01 1.382791809961740226e+00
1.423762326597232709e-02 8.578111898899078369e+01 1.291819081491925036e+00
1.449021581171507089e-02 8.068244934082031250e+01 1.207160819299708532e+00
1.474728965275358059e-02 7.588175582885742188e+01 1.128279251162368713e+00
1.500892429265147411e-02 7.136156320571899414e+01 1.054694733771489146e+00
1.527520064546111778e-02 6.710579013824462891e+01 9.860128673154923140e-01
1.554620106074739751e-02 6.309960412979125977e+01 9.218729310093307650e-01
1.582200934905544226e-02 5.932923698425292969e+01 8.620076861470333807e-01
1.610271080783016659e-02 5.578184700012207031e+01 8.061060577358040158e-01
1.638839224779563980e-02 5.244540643692016602e+01 7.539644367118198964e-01
1.667914201980251476e-02 4.930850791931152344e+01 7.053918536787394666e-01
1.697505004215169727e-02 4.636035251617431641e+01 6.602024761922000717e-01
1.727620782840279950e-02 4.359063267707824707e+01 6.181540345256921754e-01
1.758270851567595924e-02 4.098949766159057617e+01 5.791007390908985419e-01
1.789464689345575052e-02 3.854748010635375977e+01 5.428141641454052868e-01
1.821211943290607788e-02 3.625547051429748535e+01 5.091366450089952478e-01
1.853522431670525869e-02 3.410470294952392578e+01 4.778534959828659168e-01
1.886406146941029330e-02 3.208675360679626465e+01 4.487769566677164979e-01
1.919873258835989166e-02 3.019354319572448730e+01 4.217619567876640385e-01
1.953934117512577326e-02 2.841731405258178711e+01 3.966334771982503726e-01
1.988599256752190611e-02 2.675063061714172363e+01 3.732155623189248317e-01
2.023879397218167342e-02 2.518646049499511719e+01 3.514051297086410730e-01
2.059785449771293214e-02 2.371811199188232422e+01 3.310647698501570924e-01
2.096328518844138566e-02 2.233923721313476562e+01 3.121030193345369907e-01
2.133519905875250547e-02 2.104393529891967773e+01 2.944558611241940294e-01
2.171371112804276401e-02 1.982661914825439453e+01 2.780031773227825687e-01
2.209893845629094800e-02 1.868212938308715820e+01 2.626789754446004488e-01
2.249100018026054665e-02 1.760564756393432617e+01 2.484617593305041561e-01
2.289001755034435551e-02 1.659271860122680664e+01 2.351711737374103661e-01
2.329611396806288703e-02 1.563927388191223145e+01 2.229045353615884129e-01
2.370941502422790198e-02 1.474151754379272461e+01 2.114703195366240407e-01
2.413004853778307271e-02 1.389603281021118164e+01 2.009062263036617002e-01
2.455814459533374114e-02 1.309962248802185059e+01 1.911170487380949856e-01
2.499383559137794211e-02 1.234937238693237305e+01 1.820182566446374994e-01
2.543725626925121344e-02 1.164263319969177246e+01 1.736305056441245775e-01
2.588854376279775202e-02 1.097691679000854492e+01 1.658547014179033718e-01
2.634783763878096111e-02 1.034992194175720215e+01 1.586485819621270554e-01
2.681527994004637844e-02 9.759515762329101562e+00 1.520304269954599330e-01
2.729101522945025227e-02 9.203701019287109375e+00 1.459626124338545272e-01
2.777519063456760501e-02 8.680563449859619141e+00 1.403126957473578851e-01
2.826795589319353735e-02 8.188310623168945312e+00 1.351331040513273907e-01
2.876946339965144941e-02 7.725193023681640625e+00 1.303628640309784370e-01
2.927986825192328488e-02 7.289570331573486328e+00 1.260181920073323303e-01
