# Q(1/A)  I_MAP  dI_MAP
2.283706764470593009e-02 1.534748458862304688e+01 2.139630385949069236e-01
2.323882145256173787e-02 1.445943450927734375e+01 2.028619089468560177e-01
2.364764298577692533e-02 1.362373352050781250e+01 1.925587116229099671e-01
2.406365658104921493e-02 1.283706665039062500e+01 1.830631461504899082e-01
2.448698876242987044e-02 1.209651184082031250e+01 1.742007943381627399e-01
2.491776827980407907e-02 1.139924240112304688e+01 1.660041356318420203e-01
2.535612614804818102e-02 1.074269866943359375e+01 1.583356890586815890e-01
2.580219568687586174e-02 1.012438583374023438e+01 1.512253619847606090e-01
2.625611256138519339e-02 9.542118072509765625e+00 1.446499723537931492e-01
2.671801482331908131e-02 8.993698120117187500e+00 1.385342627055104192e-01
2.718804295305160892e-02 8.477245330810546875e+00 1.329416880878252771e-01
2.766633990231286144e-02 7.990821838378906250e+00 1.277469173888111931e-01
2.815305113766553013e-02 7.532840728759765625e+00 1.230003632330764762e-01
2.864832468474627289e-02 7.101593017578125000e+00 1.186433011600581261e-01
2.915231117328542093e-02 6.695596694946289062e+00 1.146702292428569969e-01
