# Q(1/A)  I_MAP  dI_MAP
5.280900470336315948e-04 2.256128368343409151e+06 8.072626918699991074e+04
5.373803022707437623e-04 2.245216831831907388e+06 7.877237715631721949e+04
5.468339933515259680e-04 2.232548185824483633e+06 7.682731542995938798e+04
5.564539954687812385e-04 2.218141465458714869e+06 7.489295108564339171e+04
5.662432343962222865e-04 2.202019975449967198e+06 7.297111764917026449e+04
5.762046873783001951e-04 2.184211250730280764e+06 7.106360938604096009e+04
5.863413840356865954e-04 2.164746999680543784e+06 6.917217573703543167e+04
5.966564072866850513e-04 2.143663029933062382e+06 6.729851592487661401e+04
6.071528942848553869e-04 2.120999156817856245e+06 6.544427375847389339e+04
6.178340373731258011e-04 2.096799094624213176e+06 6.361103265990704676e+04
6.287030850546972138e-04 2.071110330948672490e+06 6.180031093851201149e+04
6.397633429810239058e-04 2.043983984501007944e+06 6.001355733494481683e+04
6.510181749571761949e-04 2.015474646840067813e+06 5.825214685661689145e+04
6.624710039648880767e-04 1.985640208611235954e+06 5.651737692470807087e+04
6.741253132036073917e-04 1.954541670955366688e+06 5.481046385111272684e+04
6.859846471498516618e-04 1.922242942855353002e+06 5.313253966225501063e+04
6.980526126352087348e-04 1.888810625279582571e+06 5.148464928518245142e+04
7.103328799432973061e-04 1.854313783071068581e+06 4.986774810956473812e+04
7.228291839260267805e-04 1.818823705616155639e+06 4.828269993808287109e+04
7.355453251394940967e-04 1.782413657406533603e+06 4.673027533555833361e+04
7.484851709998638055e-04 1.745158619682370918e+06 4.521115038690228539e+04
7.616526569595811688e-04 1.707135024411684135e+06 4.372590587135379610e+04
7.750517877042825687e-04 1.668420481921374798e+06 4.227502686014000210e+04
7.886866383707528830e-04 1.629093503547531320e+06 4.085890274342687189e+04
8.025613557863182966e-04 1.589233220716642682e+06 3.947782769089859357e+04
8.166801597300381906e-04 1.548919101904230891e+06 3.813200154961094086e+04
8.310473442160855534e-04 1.508230668943019351e+06 3.682153118121113948e+04
8.456672787997030838e-04 1.467247214168723207e+06 3.554643224010432459e+04
8.605444099061390672e-04 1.426047519897117279e+06 3.430663139142190630e+04
8.756832621829534462e-04 1.384709581721776398e+06 3.310196896732547611e+04
8.910884398761216964e-04 1.343310337106708670e+06 3.193220205742882536e+04
9.067646282303438391e-04 1.301925400722923223e+06 3.079700802665883384e+04
9.227165949139888058e-04 1.260628807941944804e+06 2.969598845148221517e+04
9.389491914691063153e-04 1.219492767853075173e+06 2.862867346169702432e+04
9.554673547869477505e-04 1.178587427115028724e+06 2.759452647073268236e+04
9.722761086094437039e-04 1.137980645886296406e+06 2.659294927411062599e+04
9.893805650571007096e-04 1.097737787003108766e+06 2.562328748912904484e+04
1.006785926183767325e-03 1.057921519489457132e+06 2.468483630445483141e+04
1.024497485558761465e-03 1.018591637390809134e+06 2.377684650235168738e+04
1.042520629876825733e-03 9.798048948226836510e+05 2.289853070986218881e+04
1.060860840596406342e-03 9.416148580179540440e+05 2.204906982967632575e+04
1.079523695606757075e-03 9.040717750431634486e+05 2.122761959571074840e+04
1.098514870924360929e-03 8.672224637354074512e+05 2.043331719242557665e+04
1.117840142419206356e-03 8.311102182883846108e+05 1.966528787345603268e+04
1.137505387571427235e-03 7.957747347898818552e+05 1.892265151019650511e+04
1.157516587258846730e-03 7.612520558843435720e+05 1.820452899938535120e+04
1.177879827575967989e-03 7.275745346044325270e+05 1.751004845710456721e+04
1.198601301684965080e-03 6.947708172857067548e+05 1.683835112722806298e+04
